"specie","metabolite usage","enzymes","ecosystem","pH","biotic relationship","cell arrangement","energy source","flagella","gram stain","growth in groups","halophilic","pathogenic","metabolism","mobility","motility","oxygen requirement","radioresistance","shape","sporulation","temperature range"
"Treponema paraluiscuniculi",NA,NA,"hostassociated, host, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictanaero",NA,"spirilla",NA,"mesophilic"
"Veillonella sp. 6_1_27",NA,NA,"hostassociated, human, digestivesystem, host",NA,NA,"pairs",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Magnetospirillum magnetotacticum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Methanothermobacter tenebrarum",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,"methanogen",NA,NA,NA,NA,NA,NA,"thermophilic"
"Nocardiopsis alba",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,"cellulosedegrader",NA,NA,"strictaero",NA,NA,"sporulation","mesophilic"
"Aquaspirillum serpens",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Selenomonas sputigena",NA,NA,"host",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Thermaerobacter marianensis",NA,NA,"freeliving",NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Thermogladius cellulolyticus",NA,NA,"environmental, aquatic, freeliving, single",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,"coccus",NA,"thermophilic"
"Azospirillum brasilense","alanine","alkaline phosphatase","hostassociated, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Leucothrix mucor",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Mycoplasma columbinum",NA,NA,"hostassociated, host, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"coccus",NA,"mesophilic"
"Azospirillum lipoferum",NA,NA,"hostassociated, host",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in plants","nitrogenfixation",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Adlercreutzia equolifaciens",NA,NA,"hostassociated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Campylobacter coli",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated",NA,NA,"chains, singles",NA,"flagellarpresence","negative",NA,NA,"enteric, pathogenic in mammals",NA,NA,"motility","microaerophilic",NA,"spirilla",NA,"mesophilic"
"Blautia hydrogenotrophica",NA,NA,"hostassociated, fecal",NA,NA,"pairs, singles",NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Acholeplasma brassicae",NA,NA,"host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"coccus",NA,NA
"Campylobacter fetus",NA,NA,"hostassociated, human, host, fecal, hostassociated",NA,NA,"chains, singles",NA,NA,"negative",NA,NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"microaerophilic",NA,"spirilla",NA,"mesophilic"
"Sedimentitalea nanhaiensis",NA,"alkaline phosphatase, catalase","freeliving",NA,NA,NA,"phototroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Campylobacter jejuni",NA,NA,"hostassociated, human, host, fecal, hostassociated",NA,NA,"chains, singles",NA,NA,"negative",NA,NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"microaerophilic",NA,"spirilla",NA,"mesophilic"
"Caldicellulosiruptor hydrothermalis",NA,NA,"environmental, aquatic, hotspring, freeliving",NA,NA,"pairs, singles",NA,NA,"positive",NA,NA,NA,"cellulosedegrader, nitrogenproducer",NA,NA,"strictanaero",NA,"bacilli",NA,"thermophilic"
"Campylobacter concisus",NA,NA,"hostassociated, human, digestivesystem, host, fecal, hostassociated",NA,NA,"chains, singles",NA,NA,"negative",NA,NA,"enteric, pathogenic in mammals",NA,NA,NA,"microaerophilic",NA,"spirilla",NA,"mesophilic"
"Caldicellulosiruptor kronotskyensis",NA,NA,"environmental, aquatic, hotspring, freeliving",NA,NA,"pairs, singles",NA,NA,"positive",NA,NA,NA,"biomassdegrader, cellulosedegrader, nitrogenproducer",NA,NA,"strictanaero",NA,"bacilli",NA,"thermophilic"
"Campylobacter curvus",NA,NA,"hostassociated, host, hostassociated",NA,NA,"chains, singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Kosmotoga olearia",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"thermophilic"
"Streptococcus tigurinus","fructose, lactose, acetylglucosamine, dextrin, glucose, mannose, d xylopyranoside",NA,"hostassociated, human, oral, host, hostassociated",NA,NA,"chains, pairs","chemoorganotroph",NA,"positive","growth in groups",NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Campylobacter lari",NA,NA,"hostassociated, digestivesystem, host, fecal, hostassociated",NA,NA,"chains, singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"microaerophilic",NA,"spirilla",NA,"mesophilic"
"Campylobacter rectus",NA,NA,"hostassociated, host",NA,NA,"chains, singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,NA
"Campylobacter showae",NA,NA,"hostassociated, digestivesystem, host, hostassociated",NA,NA,"chains, singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,NA
"Enterobacter asburiae","glutamate, mannitol, sorbitol, trehalose, gluconate, aspartate, glucose","alkaline phosphatase, esterase lipase  c8, galactosidase","hostassociated, largeintestine, host, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Dermacoccus sp. Ellin185",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Helicobacter pylori",NA,"urease","hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"microaerophilic",NA,"spirilla",NA,"mesophilic"
"Candidatus Hodgkinia cicadicola",NA,NA,"hostassociated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Helicobacter acinonychis",NA,"urease","hostassociated, digestivesystem, host, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Helicobacter cinaedi",NA,"catalase","hostassociated, host, fecal, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"enteric, pathogenic in mammals",NA,NA,"motility",NA,NA,"spirilla",NA,"mesophilic"
"Nakamurella multipartita","malic acid, arabinose","alkaline phosphatase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Methanothermococcus okinawensis",NA,NA,"environmental, hydrothermalvents, marine, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"methanogen",NA,NA,"strictanaero",NA,"coccus",NA,"thermophilic"
"Candidatus Riesia pediculicola",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Helicobacter felis",NA,NA,"hostassociated, host, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"enteric, pathogenic in mammals",NA,NA,"motility",NA,NA,"spirilla",NA,"mesophilic"
"Atopobium vaginae",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Helicobacter fennelliae",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Helicobacter mustelae",NA,NA,"hostassociated, host, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Candidatus Sulfuricurvum sp. RIFRC-1",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Kamptonema formosum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,NA
"Niabella soli",NA,"alkaline phosphatase",NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Eudoraea adriatica","melibiose, salicin","alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thermoanaerobacterium saccharolyticum",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Pseudoalteromonas haloplanktis",NA,"alkaline phosphatase, esterase lipase  c8, catalase","freeliving",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Salmonella enterica","mannitol, sorbitol, trehalose, gluconate","alkaline phosphatase, esterase lipase  c8, galactosidase","hostassociated, host, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Nitratireductor indicus",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Mycoplasma bovis",NA,NA,"hostassociated, host, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"respiratory, pathogenic in mammals, bone",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Dehalobacter sp. DCA",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,"sporulation","mesophilic"
"Brucella abortus",NA,"alkaline phosphatase","hostassociated, mammals, host, hostassociated",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital, pathogenic in mammals",NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Geothermobacter ehrlichii",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brucella ovis",NA,"alkaline phosphatase","hostassociated, mammals, host, hostassociated",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital, urogenital reproductive, pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Caminibacter mediatlanticus",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Elizabethkingia meningoseptica","dextrin, salicin",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Actinomyces neuii",NA,NA,"hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Propionibacterium avidum",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Propionibacterium granulosum",NA,NA,"hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Propionimicrobium lymphophilum",NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Leisingera daeponensis",NA,"alkaline phosphatase, esterase  c4, catalase, oxidase","freeliving",NA,NA,NA,"phototroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Flavobacterium subsaxonicum","salicin",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Caulobacter vibrioides",NA,"alkaline phosphatase, glucosidase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Glomeribacter sp. 1016415",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Bacteroides clarus","indole production","alkaline phosphatase","hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Terrimonas ferruginea",NA,"alkaline phosphatase",NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Chryseobacterium gleum","salicin","valine arylamidase",NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Bacteroides oleiciplenus",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Ensifer sp. BR816","arabinose, leucine, d xylopyranoside",NA,"rhizoplane, host, rootnodule",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Psychroflexus gondwanensis","dextrin, salicin",NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacteroides fluxus",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Rhizobium sp. OR191","arabinose, xylose, d xylopyranoside","alkaline phosphatase","hostassociated, rhizoplane, rootnodule",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Odoribacter laneus",NA,"alkaline phosphatase","hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Chryseobacterium indologenes",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alistipes indistinctus",NA,"alkaline phosphatase","hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Collinsella tanakaei",NA,NA,"hostassociated, host, fecal",NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Slackia piriformis",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Myroides odoratus","dextrin",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Sphingobacterium spiritivorum",NA,"valine arylamidase",NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Agrobacterium sp. 224MFTsu3.1","d xylopyranoside","alkaline phosphatase","rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Thiomargarita namibiensis",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaerococcus hydrogenalis",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Brucella sp. 83/13",NA,"alkaline phosphatase","hostassociated, host, hostassociated",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Ornithinibacillus scapharcae","dextrin",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,NA,NA,NA,"sporulation",NA
"Francisella tularensis","hydrogen sulfide, indole production","esterase lipase  c8, esterase  c4","hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Brucella sp. NVSL 07-0026",NA,"alkaline phosphatase","hostassociated, mammals, host, hostassociated",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital, pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Parvimonas micra",NA,NA,"hostassociated, digestivesystem, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Candidatus Phytoplasma solani",NA,NA,"host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Paracoccus denitrificans",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Anaerococcus prevotii",NA,NA,"hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Anaerococcus vaginalis",NA,NA,"hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"[Ruminococcus] gnavus",NA,NA,"hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,NA,NA,NA
"Thermus aquaticus",NA,NA,"freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"[Ruminococcus] torques",NA,NA,"hostassociated, human, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Thermus thermophilus","sucrose","glucosidase, galactosidase","hotspring, freeliving, single",NA,NA,"pairs",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Sphingobium indicum",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,NA
"Coprococcus eutactus",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,NA,NA,NA
"Bartonella doshiae","glycine, leucine",NA,"hostassociated, blood, host, hostassociated, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,NA
"Meiothermus ruber",NA,NA,"freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Bartonella grahamii","glycine, leucine",NA,"hostassociated, blood, host, circulatorysystem, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,"motility","strictaero",NA,"bacilli",NA,"mesophilic"
"Bartonella taylorii","glycine, leucine",NA,"hostassociated, blood, host, hostassociated, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,NA
"Bartonella vinsonii","glycine, leucine",NA,"hostassociated, blood, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Xanthobacter autotrophicus",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Opitutaceae bacterium TAV5",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comamonas testosteroni","glutamate, ketoglutaric acid, alanine, aspartate","alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Streptococcus infantarius","fructose, lactose, acetylglucosamine, dextrin, gentiobiose, salicin, glucose, mannose",NA,"hostassociated, human, host, hostassociated",NA,NA,"chains, pairs","chemoorganotroph",NA,"positive","growth in groups",NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Sphingobium japonicum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Pseudomonas aeruginosa","malic acid, glutamate, malate, ketoglutaric acid, alanine, aspartate, mucic acid","lipase  c14","hostassociated, host, hostassociated",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,"mobility",NA,NA,NA,"bacilli",NA,"mesophilic"
"Pseudoalteromonas atlantica","glutamate, mannose","alkaline phosphatase, esterase lipase  c8, casein, oxidase","marine, freeliving",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Candidatus Kinetoplastibacterium crithidii",NA,NA,"hostassociated, host, single",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Saccharophagus degradans",NA,"alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"cellulosedegrader",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acidithiobacillus caldus","ketoglutaric acid","alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Burkholderia cepacia","glutamate, ketoglutaric acid, alanine, propionate, pyroglutamic acid",NA,"hostassociated, blood, host, hostassociated",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,"respiratory, pathogenic in mammals",NA,"mobility",NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Brevundimonas diminuta",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Pseudomonas fluorescens","galacturonate, malic acid, glutamate, glycerol, malate, ketoglutaric acid, alanine, gluconate, aspartate, mucic acid","alkaline phosphatase, esterase lipase  c8, lipase  c14, oxidase","hostassociated, plants, host, freeliving",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility","motility","strictaero",NA,"bacilli",NA,"mesophilic"
"Succinispira mobilis",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Mycobacterium avium complex",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas mendocina","galacturonate, malic acid, amino butyric acid, glutamate, malate, ketoglutaric acid, alanine, saccharate, gluconate, acetate, aspartate","esterase lipase  c8, catalase, lipase  c14, oxidase","host, freeliving",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli",NA,"mesophilic"
"Photorhabdus asymbiotica","glycerol, mannitol, glucose","alkaline phosphatase, esterase lipase  c8","hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Pseudomonas viridiflava","glutamate, ketoglutaric acid, alanine","alkaline phosphatase","phylloplane",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,"pathogenic in plants",NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Pseudomonas putida","galacturonate, glutamate, ketoglutaric acid, alanine, gluconate, acetate, aspartate, mucic acid","esterase lipase  c8, lipase  c14","hostassociated, plants, host, freeliving",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Gloeobacter violaceus",NA,NA,"freeliving",NA,NA,"singles","photosynthetic",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
